No.,Date,Time,ADC Value,Status
82,2025-10-04,23:07:24,"0,1,0,0,0,0,0,0,0",NG
83,2025-10-04,23:07:24,"0,0,0,0,0,0,0,0,0",OK
84,2025-10-04,23:07:25,"0,0,1,0,0,0,0,0,0",NG
85,2025-10-04,23:07:28,"0,0,0,0,0,0,0,0,0",OK
86,2025-10-04,23:07:29,"0,0,0,1,0,0,0,0,0",NG
87,2025-10-04,23:07:31,"0,0,0,0,0,0,0,0,0",OK
88,2025-10-04,23:07:33,"0,0,0,0,1,0,0,0,0",NG
89,2025-10-04,23:07:35,"0,0,0,0,0,0,0,0,0",OK
90,2025-10-04,23:07:36,"0,0,0,0,0,1,0,0,0",NG
91,2025-10-04,23:07:39,"0,0,0,0,0,0,0,0,0",OK
92,2025-10-04,23:07:41,"0,0,0,0,0,0,1,0,0",NG
93,2025-10-04,23:07:43,"0,0,0,0,0,0,0,0,0",OK
94,2025-10-04,23:07:50,"0,0,0,0,0,0,0,0,0",OK
95,2025-10-04,23:07:58,"0,0,0,0,0,0,1,0,0",NG
96,2025-10-04,23:07:59,"0,0,0,0,0,0,0,0,0",OK
97,2025-10-04,23:08:05,"0,0,0,0,0,0,0,1,0",NG
98,2025-10-04,23:08:09,"0,0,0,0,0,0,0,0,0",OK
99,2025-10-04,23:08:19,"0,0,0,0,0,0,0,0,0",OK
100,2025-10-04,23:08:21,"0,0,0,0,0,0,0,0,1",NG
101,2025-10-04,23:08:23,"0,0,0,0,0,0,0,0,0",OK
102,2025-10-04,23:11:36,"0,0,0,0,0,1,0,0,0",NG
103,2025-10-04,23:11:38,"0,0,0,0,0,0,0,0,0",OK
104,2025-10-04,23:11:40,"0,0,0,0,0,1,0,0,0",NG
105,2025-10-04,23:11:42,"0,0,0,0,0,0,0,0,0",OK
106,2025-10-04,23:11:44,"0,0,0,0,0,1,0,0,0",NG
107,2025-10-04,23:11:45,"0,0,0,0,0,0,0,0,0",OK
