No.,Date,Time,ADC Value,Status
0,2025-10-18,15:02:32,,NG
2,2025-10-18,15:03:33,,OK
3,2025-10-18,15:04:03,,NG
4,2025-10-18,15:04:38,,NG
5,2025-10-18,15:05:16,,OK
6,2025-10-18,15:05:25,,OK
7,2025-10-18,15:06:04,,OK
8,2025-10-18,15:06:14,,OK
9,2025-10-18,15:06:30,,OK
10,2025-10-18,15:07:49,,OK
11,2025-10-18,15:08:03,,OK
12,2025-10-18,15:08:16,,OK
13,2025-10-18,15:08:29,,OK
14,2025-10-18,15:08:46,,NG
15,2025-10-18,15:26:07,,NG
16,2025-10-18,15:26:47,,NG
17,2025-10-18,15:55:44,,NG
18,2025-10-18,16:03:36,"0,0,0,1,0",NG
19,2025-10-18,16:05:43,,OK
20,2025-10-18,16:05:46,,NG
21,2025-10-18,16:10:43,"0,0,0,0,0",OK
22,2025-10-18,16:11:16,"0,0,0,0,0",OK
23,2025-10-18,16:11:52,"0,0,0,0,0",OK
24,2025-10-18,16:12:01,"0,0,0,0,0",OK
25,2025-10-18,16:12:10,"0,0,0,0,0",OK
26,2025-10-18,16:12:28,"0,0,0,1,1",NG
27,2025-10-18,16:13:39,"0,0,0,1,1",NG
28,2025-10-18,16:14:02,"1,1,1,0,1",NG
29,2025-10-18,16:14:23,"0,0,0,0,0",OK
30,2025-10-18,16:14:57,"0,0,0,0,0",OK
31,2025-10-18,16:15:07,"0,0,0,0,0",OK
32,2025-10-18,16:15:23,"1,1,1,0,1",NG
33,2025-10-18,16:15:49,"0,0,0,1,1",NG
34,2025-10-18,16:16:12,"0,0,0,0,0",OK
35,2025-10-18,16:17:38,"1,1,1,0,1",NG
36,2025-10-18,16:18:07,"1,1,1,0,1",NG
37,2025-10-18,16:18:47,"0,0,0,0,0",OK
38,2025-10-18,16:29:49,"0,0,0,1,0",NG
39,2025-10-18,16:29:59,"0,0,0,1,0",NG
40,2025-10-18,16:30:07,"0,0,0,1,0",NG
41,2025-10-18,16:31:22,"0,0,0,1,0",NG
42,2025-10-18,16:31:33,"0,0,0,1,0",NG
43,2025-10-18,16:31:45,"1,0,0,1,0",NG
44,2025-10-18,16:35:17,"0,0,0,0,0",OK
45,2025-10-18,16:35:42,"0,1,1,0,0",NG
46,2025-10-18,16:36:26,"1,1,1,1,1",NG
47,2025-10-18,16:36:47,"0,1,1,0,0",NG
48,2025-10-18,16:37:10,"1,1,1,0,1",NG
49,2025-10-18,16:37:44,"0,0,0,1,1",NG
50,2025-10-18,16:38:07,"1,1,1,0,1",NG
51,2025-10-18,16:38:26,"0,0,0,0,0",OK
52,2025-10-18,16:39:03,"1,1,1,0,1",NG
53,2025-10-18,16:39:26,"1,1,1,1,1",NG
54,2025-10-18,16:40:07,"1,1,1,1,1",NG
55,2025-10-18,16:40:29,"1,1,1,0,1",NG
56,2025-10-18,16:40:53,"1,1,1,1,1",NG
